,Name,Park,City,State,Country,Status,Status Date,Material,Seating,Thrill,Make,Model,Length,Height,Drop,Speed,Inversions,VerticalAngle,Duration,G-Force
11,Dragon,Legoland California,Carlsbad,California,United States,Operating,1999-03-20,Steel,Sit Down,Family,Vekoma,Junior Coaster,1246.7,,,,0,,,
12,Dragon,Blackbeard's Cave,Bayville,New Jersey,United States,SBNO,2019,Steel,Sit Down,Kiddie,Wisdom Rides,Other,,,,,0,,,
13,Dragon,Uncle Bernie's Theme Park,Fort Lauderdale,Florida,United States,Operating,2002,Steel,Sit Down,Family,Zamperla,Powered Coaster,,,,,0,,,
14,Dragon,Legoland Florida,Winter Haven,Florida,United States,Operating,2004-11-26,Steel,Sit Down,Family,Vekoma,Junior Coaster,1496.1,42.7,,28.5,0,,,
15,Dragon,Legoland New York,Goshen,New York,United States,Operating,2021-07-09,Steel,Sit Down,Family,Zierer,Force,,,,,0,,,
16,Dragon Coaster,Playland Park,Rye,New York,United States,Operating,1929,Wood,Sit Down,Thrill,,,3400,80,,,0,,2:00,
17,Dragon Coaster,Las Vegas Mini Gran Prix,Las Vegas,Nevada,United States,Operating,2000-08,Steel,Sit Down,Kiddie,Wisdom Rides,Other,,,,,0,,,
18,Dragon Coaster,Mile High Flea Market,Henderson,Colorado,United States,Operating,2000,Steel,Sit Down,Family,Wisdom Rides,Other,,,,,0,,,
19,Dragon Coaster,All Star Adventures,Wichita,Kansas,United States,Operating,2006,Steel,Sit Down,Family,Wisdom Rides,,,,,,0,,,
20,Dragon Coaster,Castle Fun Center,Chester,New York,United States,Operating,2018,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
21,Dragon Coaster,Clementon Park,Clementon,New Jersey,United States,Operating,2019,Steel,Sit Down,Family,Wisdom Rides,Other,,,,,0,,,
22,Dragonflier,Dollywood,Pigeon Forge,Tennessee,United States,Operating,2019-05-10,Steel,Suspended,Family,Vekoma,Suspended Family Coaster,1486.2,,,,0,,,
23,Dragon Roller Coaster,Pixieland Amusement Park,Concord,California,United States,Operating,1995,Steel,Sit Down,Family,Wisdom Rides,Other,,,,,0,,,
0,Dragon's Apprentice,Legoland New York,Goshen,New York,United States,Operating,2021-07-09,Steel,Sit Down,Family,Zamperla,Family Coaster,262.5,13.1,,,0,,,
1,Dragon Slayer,Adventureland,Altoona,Iowa,United States,Operating,2021-05-29,Steel,Wing,Extreme,S&S Sansei Technologies,4D Free Spin,,,,,0,,,
2,Dragon Wagon,Enchanted Island,Phoenix,Arizona,United States,Operating,1992,Steel,Sit Down,Kiddie,Wisdom Rides,Other,,,,,0,,,
3,Dragon Wagon,Cobra Adventure Park,Panama City Beach,Florida,United States,Operating,2004-03,Steel,Sit Down,Kiddie,Wisdom Rides,Other,,,,,0,,,
4,Dragon Wagon,Grady's Family Fun Park,Bloomington,Illinois,United States,Operating,1993,Steel,Sit Down,Kiddie,Wisdom Rides,Other,,,,,0,,,
5,Dragon Wagon,Joyland Amusement Park,Lubbock,Texas,United States,Operating,2017,Steel,Sit Down,Family,Wisdom Rides,Other,,,,,0,,,
6,Dr. Diabolical's Cliffhanger,Six Flags Fiesta Texas,San Antonio,Texas,United States,Under Construction,2022-06-11,Steel,Sit Down,Extreme,Bolliger & Mabillard,Dive Coaster,2501,150,,60,2,95,,
7,El Bandido,Western Playland,Sunland Park,New Mexico,United States,Operating,2006,Steel,Sit Down,Thrill,Pinfari,Zyklon,,,,,0,,,
8,Electric Eel,SeaWorld San Diego,San Diego,California,United States,Operating,2018-05-10,Steel,Sit Down,Extreme,Premier Rides,Sky Rocket,863,150,,62,1,,,
9,El Loco,Adventuredome,Las Vegas,Nevada,United States,Operating,2014-02-18,Steel,Sit Down,Extreme,S&S Sansei Technologies,El Loco,1300,90,,45,2,,1:13,
10,El Toro,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,2006-06-12,Wood,Sit Down,Extreme,Intamin Amusement Rides,Other,4400,181,176,70,0,76,1:42,
11,Emerald Coaster,Sam's Fun City,Pensacola,Florida,United States,Operating,2018-03-16,Steel,Sit Down,Thrill,Pinfari,Zyklon,,,,,0,,,
12,Emperor,SeaWorld San Diego,San Diego,California,United States,Under Construction,2022-03-12,Steel,Sit Down,Extreme,Bolliger & Mabillard,Dive Coaster,2411,153,143,60,3,90,2:00,
13,Excalibur,Valleyfair!,Shakopee,Minnesota,United States,Operating,1989,Steel,Sit Down,Thrill,Arrow Dynamics,Special Coaster Systems,2415,100,105,54.5,0,60,2:17,
14,Excalibur,Funtown Splashtown U.S.A.,Saco,Maine,United States,Operating,1998-06-05,Wood,Sit Down,Extreme,"Custom Coasters International, Inc.",,2700,100,82,55,0,,1:58,
15,Expedition Everest,Walt Disney World - Disney's Animal Kingdom,Lake Buena Vista,Florida,United States,Operating,2006-04-07,Steel,Sit Down,Extreme,Vekoma,Other,3884.5,112,80,50,0,,2:50,
16,Exterminator,Kennywood,West Mifflin,Pennsylvania,United States,Operating,1999-04-18,Steel,Sit Down,Thrill,Reverchon,Spinning Coaster,1377.9,42.7,,29.1,0,,1:48,2.5
17,Fahrenheit,Hersheypark,Hershey,Pennsylvania,United States,Operating,2008-05-24,Steel,Sit Down,Extreme,Intamin Amusement Rides,,2700,121,,58,6,97,1:25,
18,Fairly Odd Coaster,Nickelodeon Universe,Bloomington,Minnesota,United States,Operating,2004-03-15,Steel,Sit Down,Thrill,Gerstlauer Amusement Rides GmbH,Spinning Coaster,1345,54,,31,0,50,1:30,
19,Family Coaster,Andretti Thrill Park,Melbourne,Florida,United States,Operating,2015,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,190,14,,,0,,,
20,Family Flyer,Playland Park,Rye,New York,United States,Operating,2001,Steel,Sit Down,Family,Zamperla,Family Coaster,262.5,13,,,0,,,
21,Family Roller Coaster,Wildlife World,Litchfield Park,Arizona,United States,Operating,2016-02-01,Steel,Sit Down,Family,Chance Rides,Big Dipper,,,,,0,,,
22,Fiesta Express,Fun Fore All Family Entertainment Center,Cranberry Township,Pennsylvania,United States,Operating,2003-08,Steel,Sit Down,Family,Zamperla,Other,262,8,,,0,,,
23,Fiesta Express,Austin's Park,Pflugerville,Texas,United States,Operating,2013-12,Steel,Sit Down,Family,Zamperla,Other,262,8,,,0,,,
0,Fireball,Adventureland,Farmingdale,New York,United States,Under Construction,2022,Steel,Sit Down,Family,Ride Engineers Switzerland,Roller Ball,288.7,68.9,,,0,,,
1,Firebird,Six Flags America,Upper Marlboro,Maryland,United States,Operating,2012-06-07,Steel,Sit Down,Extreme,Bolliger & Mabillard,Stand-Up Coaster,2900,100,90,55,2,,2:00,
2,FireChaser Express,Dollywood,Pigeon Forge,Tennessee,United States,Operating,2014-03-22,Steel,Sit Down,Family,Gerstlauer Amusement Rides GmbH,Family Coaster,2427,78,,34.5,0,,,
3,Fire In The Hole,Silver Dollar City,Branson,Missouri,United States,Operating,1972,Steel,Sit Down,Family,,,,,,,0,,,
4,Flashback,Great Escape,Queensbury,New York,United States,Operating,1997-05-23,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
5,Flashback,Six Flags New England,Agawam,Massachusetts,United States,Operating,2000-05-05,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
6,Flash: Vertical Velocity,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,2001-06-08,Steel,Inverted,Extreme,Intamin Amusement Rides,Impulse Coaster,630,150,,65,1,90,,
7,Flight Deck,California's Great America,Santa Clara,California,United States,Operating,1993-03-19,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2260,102,91,50,3,,2:26,
8,Flight of Fear,Kings Island,Mason,Ohio,United States,Operating,1996,Steel,Sit Down,Extreme,Premier Rides,LIM Coaster,2705,74.2,,54,4,,1:00,4.5
9,Flight of Fear,Kings Dominion,Doswell,Virginia,United States,Operating,1996-06-18,Steel,Sit Down,Extreme,Premier Rides,LIM Coaster,2705,74.2,,54,4,,2:24,4.5
10,Flight of the Hippogriff,Universal Studios Islands of Adventure,Orlando,Florida,United States,Operating,2000-06-29,Steel,Sit Down,Family,Vekoma,Junior Coaster,1099.1,42.7,,28.5,0,,1:06,
11,Flight of the Hippogriff,Universal Studios Hollywood,Universal City,California,United States,Operating,2016-04-07,Steel,Sit Down,Family,Mack Rides GmbH & Co KG,Youngstar Coaster,984.3,,,,0,,,
12,Flying Ace Aerial Chase,Kings Island,Mason,Ohio,United States,Operating,2001,Steel,Inverted,Family,Vekoma,Suspended Family Coaster,1122,48.6,,26,0,,1:30,2.2
13,Flying Cobras,Carowinds,Charlotte,North Carolina,United States,Operating,2009-03-28,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
14,Flying Dragon,Funderland Amusement Park,Sacramento,California,United States,Operating,1990,Steel,Sit Down,Kiddie,Wisdom Rides,,,,,,0,,,
15,Flying School,Legoland Florida,Winter Haven,Florida,United States,Operating,2004-12-09,Steel,Inverted,Family,Vekoma,Suspended Family Coaster,1122,48.6,,26,0,,1:30,2.2
16,Flying Turns,Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,Operating,2013-10-05,Wood,Bobsled,Thrill,,,1300,50,,24,0,,,
17,Forest Flyer,Vail Adventure Ridge,Vail,Colorado,United States,Operating,2016,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,1935.7,,,,0,,,
18,Frankie's Mine Train,Great Escape,Queensbury,New York,United States,Operating,2005-05,Steel,Sit Down,Family,Zamperla,Family Coaster,262.5,13,,,0,,,
19,Frankie's Mine Train,Frontier City,Oklahoma City,Oklahoma,United States,Operating,2019-05-25,Steel,Sit Down,Family,Zamperla,Family Coaster,262.5,,,,0,,,
20,Freedom Flyer,Fun Spot America,Orlando,Florida,United States,Operating,2013-05,Steel,Suspended,Family,Vekoma,Suspended Family Coaster,1295.9,64.3,,34.2,0,,,
21,Freedom Rider,iPlay America,Freehold,New Jersey,United States,Operating,2016-05-27,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,190,14,,,0,,,
22,Freeway Coaster,Adventure City,Anaheim,California,United States,Operating,1994,Steel,Sit Down,Kiddie,E&F Miler Industries,Family Coaster,,,,,0,,,
23,Full Throttle,Six Flags Magic Mountain,Valencia,California,United States,Operating,2013-06-22,Steel,Sit Down,Extreme,Premier Rides,Sky Rocket,2200,164,,70,2,,1:30,
0,FunCoaster,Funplex,Mount Laurel,New Jersey,United States,Operating,2013-03-30,Steel,Sit Down,Thrill,SBF Visa Group,Spinning Coaster (MX52),1017.1,36.1,,26.7,0,,1:40,2.5
1,Fun in the Sun,Funplex,Myrtle Beach,South Carolina,United States,Operating,2021-05-21,Steel,Sit Down,Family,SBF Visa Group,Big Air Coaster,,,,,0,,,
2,Fury 325,Carowinds,Charlotte,North Carolina,United States,Operating,2015-03-28,Steel,Sit Down,Extreme,Bolliger & Mabillard,Hyper Coaster,6602,325,320,95,0,81,,
3,Gadget's Go Coaster,Disneyland,Anaheim,California,United States,Operating,1993,Steel,Sit Down,Family,Vekoma,Junior Coaster,679.1,27.9,,21.7,0,,0:44,
4,Galaxi,Joyland Amusement Park,Lubbock,Texas,United States,Operating,,Steel,Sit Down,Thrill,S.D.C.,Galaxi,,,,,0,,,
5,Galaxi,Cliff's Amusement Park,Albuquerque,New Mexico,United States,Operating,1977,Steel,Sit Down,Thrill,S.D.C.,Galaxi,,,,,0,,,
6,Galaxi,Sylvan Beach Amusement Park,Sylvan Beach,New York,United States,Operating,1993,Steel,Sit Down,Thrill,S.D.C.,Galaxi,,,,,0,,,
7,Galaxy 500 Coaster,Cedar Valley's Wild Frontier Fun Park,Comins,Michigan,United States,Operating,2021-07-10,Steel,Sit Down,Thrill,S.D.C.,Galaxi,1700,55,,,0,,,
8,Galaxy Spin,Fun Spot America,Kissimmee,Florida,United States,Operating,2011-07-02,Steel,Sit Down,Thrill,Zamperla,Twister Coaster,1377.9,42.7,,29.1,0,,1:30,2.5
9,GaleForce,Playland's Castaway Cove,Ocean City,New Jersey,United States,Operating,2017-05-26,Steel,Sit Down,Extreme,S&S Sansei Technologies,,1269,125,,64,0,,1:00,4
10,GateKeeper,Cedar Point,Sandusky,Ohio,United States,Operating,2013-05-11,Steel,Wing,Extreme,Bolliger & Mabillard,Wing Coaster,4164,170,164,67,6,,2:40,
11,Gatlinburg Mountain Coaster,Gatlinburg Mountain Coaster,Gatlinburg,Tennessee,United States,Operating,2014,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2500,,,,0,,,
12,Gauntlet,Magic Springs Theme and Water Park,Hot Springs,Arkansas,United States,Operating,2004-04-10,Steel,Inverted,Extreme,Vekoma,SLC,2260.5,109,,49.7,5,,1:36,
13,Gemini,Cedar Point,Sandusky,Ohio,United States,Operating,1978-06,Steel,Sit Down,Thrill,Arrow Dynamics,Special Coaster Systems,3935,125.3,118,60,0,55,2:20,
14,Genesis Kidz Koaster,Modern Woodmen Park,Davenport,Iowa,United States,Operating,2017,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,,,,,0,,,
15,Georgia Mountain Coaster,Georgia Mountain Coaster,Helen,Georgia,United States,Operating,2019-05-18,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2116.1,,,,0,,,
16,Georgia Scorcher,Six Flags Over Georgia,Austell,Georgia,United States,Operating,1999-05,Steel,Stand Up,Extreme,Bolliger & Mabillard,Stand-Up Coaster,3000,107,101,54,2,,1:24,4
17,GhostRider,Knott's Berry Farm,Buena Park,California,United States,Operating,1998-12-08,Wood,Sit Down,Extreme,"Custom Coasters International, Inc.",,4533,118,108,56,0,51,2:40,3.1
18,Giant Dipper,Belmont Park,San Diego,California,United States,Operating,1925-07-04,Wood,Sit Down,,,,2600,73,,55,0,,,
19,Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,California,United States,Operating,1924-05-17,Wood,Sit Down,,,,2640,70,65,55,0,,1:52,
20,Gilbeau's Galaxi,Blue Bayou Dixie Landin',Baton Rouge,Louisiana,United States,Operating,2001-07-11,Steel,Sit Down,Thrill,S.D.C.,Galaxi,,,,,0,,,
21,Glade Runner,Bogus Basin Mountain Recreation Area,Horseshoe Bend,Idaho,United States,Operating,2017-12-23,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,4330,,,,0,,,
22,Go Bananas!,Wild Adventures,Valdosta,Georgia,United States,Operating,2000,Steel,Sit Down,Thrill,Maurer Rides GmbH,Wild Maus Classic,1213.9,49.3,,28,0,46,1:10,
23,Go-Gator,Fun Plex,Omaha,Nebraska,United States,Operating,2004,Steel,Sit Down,Kiddie,Wisdom Rides,Other,,,,,0,,,
0,Go-Gator,Kiwanis Kiddieland,Merced,California,United States,Operating,2008,Steel,Sit Down,Kiddie,Wisdom Rides,,,,,,0,,,
1,Go-Gator,Wichita County Fairgrounds,Leoti,Kansas,United States,Operating,1998,Steel,Sit Down,Kiddie,Wisdom Rides,Other,,,,,0,,,
2,Gold Runner Alpine Coaster,Breckenridge Ski Resort,Breckenridge,Colorado,United States,Operating,2010,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2345.8,,,,0,,,
3,Gold Rusher,Six Flags Magic Mountain,Valencia,California,United States,Operating,1971-05-29,Steel,Sit Down,Thrill,Arrow Dynamics,Mine Train,2590,70,,35,0,,2:30,
4,Gold Striker,California's Great America,Santa Clara,California,United States,Operating,2013-05-31,Wood,Sit Down,Extreme,Great Coasters International,Wooden Coasters,3197,108.2,,53.7,0,,2:30,
5,Goliath,Six Flags Magic Mountain,Valencia,California,United States,Operating,2000-02-11,Steel,Sit Down,Extreme,Giovanola,Mega Coaster,4500,235,255,85,0,61,3:00,
6,Goliath,Six Flags Over Georgia,Austell,Georgia,United States,Operating,2006-04-01,Steel,Sit Down,Extreme,Bolliger & Mabillard,Hyper Coaster,4480,200,175,70,0,,,
7,Goliath,Six Flags Fiesta Texas,San Antonio,Texas,United States,Operating,2008-04-18,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2693,105,80,50,5,,2:00,
8,Goliath,Six Flags Great America,Gurnee,Illinois,United States,Operating,2014-06-19,Wood,Sit Down,Extreme,Rocky Mountain Construction,Topper Track,3100,165,180,72,2,85,,
9,Goofy's Sky School,Disney California Adventure Park,Anaheim,California,United States,Operating,2001-02-08,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,Wilde Maus,,,,27,0,,,
10,Gotham City Gauntlet Escape from Arkham Asylum,Six Flags New England,Agawam,Massachusetts,United States,Operating,2011-04-16,Steel,Sit Down,Thrill,Maurer Rides GmbH,Wild Maus Classic,1213.9,49.3,,28,0,46,1:32,
11,Grand Exposition Coaster,Silver Dollar City,Branson,Missouri,United States,Operating,2006-04,Steel,Sit Down,Family,Zamperla,Family Coaster,262,13,,,0,,,
12,Gravity Roller Coaster,Schnepf Farms,Queen Creek,Arizona,United States,Operating,2007-10-06,Steel,Sit Down,Family,Miler Manufacturing,World's Largest Portable Roller Coaster,,,,,0,,,
13,Great American Scream Machine,Six Flags Over Georgia,Austell,Georgia,United States,Operating,1973-03-31,Wood,Sit Down,Extreme,"Philadelphia Toboggan Coasters, Inc.",,3450,105,89,57,0,45,2:00,
14,Great Bear,Hersheypark,Hershey,Pennsylvania,United States,Operating,1998-05-23,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2800,90,124,58,4,,2:55,
15,Great Chase,Six Flags New England,Agawam,Massachusetts,United States,Operating,1996,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
16,Great Chase,Six Flags America,Upper Marlboro,Maryland,United States,Operating,1999-05-08,Steel,Sit Down,Family,Zamperla,Family Coaster,262.5,13,,,0,,1:06,
17,Great Lego Race,Legoland Florida,Winter Haven,Florida,United States,Operating,2011-10-15,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,Wilde Maus,1312.3,51.8,49.8,35,0,,1:35,
18,Great Nor'Easter,Morey's Piers,Wildwood,New Jersey,United States,Operating,1995,Steel,Inverted,Extreme,Vekoma,SLC,2168.6,115,95,55,5,,2:05,
19,Great Pumpkin Coaster,Kings Island,Mason,Ohio,United States,Operating,1992,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,199.3,8,,,0,,0:52,
20,Great Pumpkin Coaster,Kings Dominion,Doswell,Virginia,United States,Operating,1997-03-29,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,8,,0,,,
21,Great White,SeaWorld San Antonio,San Antonio,Texas,United States,Operating,1997-02,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2562,108,81.2,50,5,,2:00,4.6
22,Great White,Morey's Piers,Wildwood,New Jersey,United States,Operating,1996,Wood,Sit Down,Extreme,"Custom Coasters International, Inc.",,3300,110,100,50,0,,2:00,
23,Green Lantern,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,2011-05-25,Steel,Stand Up,Extreme,Bolliger & Mabillard,Stand-Up Coaster,4155,154,144,63,5,45,2:30,
0,Griffon,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,Operating,2007-05-18,Steel,Sit Down,Extreme,Bolliger & Mabillard,Dive Coaster,3108,205,,71,2,90,3:00,4
1,Grizzly,California's Great America,Santa Clara,California,United States,Operating,1986,Wood,Sit Down,Extreme,,,3250,91,,55,0,,2:40,
2,Grizzly,Kings Dominion,Doswell,Virginia,United States,Operating,1982-03-27,Wood,Sit Down,Extreme,,,3150,87,,,0,,2:30,
3,Grover's Alpine Express,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,Operating,2009-04-03,Steel,Sit Down,Family,Zierer,Force,600,24,,,0,,,
4,Guardians of the Galaxy : Cosmic Rewind,Walt Disney World - Epcot,Lake Buena Vista,Florida,United States,Under Construction,2022,Steel,Sit Down,,Vekoma,Other,5577.4,,,,0,,,
5,Hades 360,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,United States,Operating,2005-05-14,Wood,Sit Down,Extreme,,,4746,136,140,60,1,65,,
6,Hagrid's Magical Creatures Motorbike Adventure,Universal Studios Islands of Adventure,Orlando,Florida,United States,Operating,2019-06-13,Steel,Sit Down,Thrill,Intamin Amusement Rides,,5053,65,,50,0,,,
7,Half Pipe,Elitch Gardens,Denver,Colorado,United States,Operating,2004-05-27,Steel,Sit Down,Thrill,Intamin Amusement Rides,Half Pipe Coaster,229.7,98.4,,43.5,0,,2:00,4.5
8,Hang Ten,Fantasy Island Amusement Park,Beach Haven,New Jersey,United States,Operating,2017-06-26,Steel,Sit Down,Family,SBF Visa Group,MX608/E Higher Model,180,14,,,0,,,
9,HangTime,Knott's Berry Farm,Buena Park,California,United States,Operating,2018-05-18,Steel,Sit Down,Extreme,Gerstlauer Amusement Rides GmbH,Infinity Coaster,2198,150,,57,5,96,,
10,Harley Quinn Crazy Train,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,1999,Steel,Sit Down,Family,Zierer,Tivoli,1181.1,26.3,,22.4,0,,1:05,
11,Harry Potter and the Escape from Gringotts,Universal Studios Florida,Orlando,Florida,United States,Operating,2014-07-08,Steel,Sit Down,Thrill,Intamin Amusement Rides,,,,,,0,,,
12,Hell Cat,Clementon Park,Clementon,New Jersey,United States,Operating,2004-09-18,Wood,Sit Down,Extreme,S&S Sansei Technologies,Wooden Coaster,2602,110,105,56,0,62,1:30,
13,High Roller,Valleyfair!,Shakopee,Minnesota,United States,Operating,1976,Wood,Sit Down,Extreme,Opus Group,,2982,70,,50,0,,1:45,
14,"Hollywood Rip, Ride, Rockit",Universal Studios Florida,Orlando,Florida,United States,Operating,2009,Steel,Sit Down,Extreme,Maurer Rides GmbH,X-Car,3800,167,,65,0,,,
15,Hoosier Hurricane,Indiana Beach,Monticello,Indiana,United States,Operating,1994-05-27,Wood,Sit Down,Thrill,"Custom Coasters International, Inc.",,2891,77,,51,0,,,
16,Hoot N Holler,Six Flags Darien Lake,Darien Center,New York,United States,Operating,1981,Steel,Sit Down,Family,Zierer,Tivoli,197.5,10.8,,16.2,0,,,
17,Hornet,Wonderland Amusement Park,Amarillo,Texas,United States,Operating,2009-06-03,Steel,Sit Down,Thrill,Vekoma,Other,1148.3,27.9,,,0,,,
18,Hot Tamales,Casino Pier,Seaside Heights,New Jersey,United States,Operating,2003,Steel,Sit Down,Family,L&T Systems,Mini Coaster,196.8,11.8,,14.1,0,,,
19,Hot Wheels,Mattel Adventure Park,Glendale,Arizona,United States,Under Construction,2022,Steel,Sit Down,Extreme,Chance Rides,Other,,,,,3,,,
20,Howler,Holiday World,Santa Claus,Indiana,United States,Operating,1999-05-08,Steel,Sit Down,Family,Zamperla,Family Coaster,262.5,13,,,0,,,
21,Humpty Dumpty's Great Fall,Storybook Land,Aberdeen,South Dakota,United States,Operating,2015-07-25,Steel,Sit Down,Family,Zamperla,Family Coaster,,,,,0,,,
22,Hurler,Carowinds,Charlotte,North Carolina,United States,Operating,1994,Wood,Sit Down,Extreme,"International Coasters, Inc.",,3157,83,,50,0,,2:00,
23,Hurricane,Western Playland,Sunland Park,New Mexico,United States,Operating,2013-05-25,Steel,Sit Down,Thrill,S.D.C.,Hurricane,,,,,0,,,
0,Hurricane,Race City PCB,Panama City Beach,Florida,United States,Operating,2015,Steel,Sit Down,Thrill,S.D.C.,Hurricane,1427,59,,35,0,,1:26,
1,Hurricane,Fun Spot America,Kissimmee,Florida,United States,Operating,2019-12-24,Steel,Sit Down,Family,E&F Miler Industries,Hi-Miler,1300,52,,,0,,,
2,Hydra the Revenge,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,United States,Operating,2005-05-07,Steel,Sit Down,Extreme,Bolliger & Mabillard,Floorless Coaster,3198,95,105,53,7,68,2:35,
3,Hydrus,Casino Pier,Seaside Heights,New Jersey,United States,Operating,2017-05-06,Steel,Sit Down,Extreme,Gerstlauer Amusement Rides GmbH,Euro-Fighter,1050,72,,45,3,97,,
4,Ice Breaker,SeaWorld Orlando,Orlando,Florida,United States,Under Construction,2022-02-18,Steel,Sit Down,Thrill,Premier Rides,Sky Rocket,1900,93,,52,0,100,,
5,Ice Mountain Bobsled,Enchanted Forest,Turner,Oregon,United States,Operating,1983,Steel,Sit Down,Family,Ascot Design,,1600,,,,0,,2:30,
6,Impulse,Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,Operating,2015-04-25,Steel,Sit Down,Extreme,Zierer,Tower,1975,98,,55,4,90,,
7,Incredible Hulk,Universal Studios Islands of Adventure,Orlando,Florida,United States,Operating,1999-05-28,Steel,Sit Down,Extreme,Bolliger & Mabillard,Sitting Coaster,3700,110,104.9,67,7,,2:15,4
8,Incredible Spin Coaster,St. Louis's Incredible Pizza Company,St. Louis,Missouri,United States,Operating,2016-11-04,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,190,14,,,0,,,
9,Incredible Spinning Roller Coaster,Incredible Pizza Company,Cordova,Tennessee,United States,Operating,2015-12-11,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,190,14,,,0,,,
10,Incredicoaster,Disney California Adventure Park,Anaheim,California,United States,Operating,2001-02-08,Steel,Sit Down,Extreme,Intamin Amusement Rides,Multi Inversion Coaster,6072,,108,55,1,,2:36,
11,Inferno Mountain Coaster,Purgatory Resort,Durango,Colorado,United States,Operating,2018-08-25,Steel,Sit Down,Thrill,Aquatic Development Group,,4000,,,25,0,,,
12,Intimidator,Carowinds,Charlotte,North Carolina,United States,Operating,2010-03-27,Steel,Sit Down,Extreme,Bolliger & Mabillard,Hyper Coaster,5316,232,211,75,0,74,3:33,
13,Intimidator 305,Kings Dominion,Doswell,Virginia,United States,Operating,2010-04-02,Steel,Sit Down,Extreme,Intamin Amusement Rides,Other,5100,305,300,90,0,85,3:00,
14,InvadR,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,Operating,2017-04-07,Wood,Sit Down,Thrill,Great Coasters International,Wooden Coasters,2118,,74,48,0,,,
15,Invertigo,Kings Island,Mason,Ohio,United States,Operating,1999-04-17,Steel,Inverted,Extreme,Vekoma,Other,1013.8,131.3,,50,3,,1:30,5
16,Iron Dragon,Cedar Point,Sandusky,Ohio,United States,Operating,1987-06-11,Steel,Suspended,Thrill,Arrow Dynamics,Suspended Coaster,2800,76,,40,0,,2:00,
17,Iron Gwazi,Busch Gardens Tampa,Tampa,Florida,United States,Under Construction,2022-03-11,Steel,Sit Down,Extreme,Rocky Mountain Construction,IBox Track,4075,206,206,76,2,91,1:50,
18,Iron Rattler,Six Flags Fiesta Texas,San Antonio,Texas,United States,Operating,2013-05-25,Steel,Sit Down,Extreme,Rocky Mountain Construction,IBox Track,3266,179,171,70,1,81,,
19,Iron Shark,Galveston Island Historic Pleasure Pier,Galveston,Texas,United States,Operating,2012-06-01,Steel,Sit Down,Extreme,Gerstlauer Amusement Rides GmbH,Euro-Fighter,1246,100,,52,3,95,1:00,
20,Jack Rabbit,Kennywood,West Mifflin,Pennsylvania,United States,Operating,1920,Wood,Sit Down,Thrill,,,2132,40,70,45,0,45,1:36,
21,Jack Rabbit,Seabreeze,Rochester,New York,United States,Operating,1920,Wood,Sit Down,,,,2130,75,,,0,,,
22,Jaguar!,Knott's Berry Farm,Buena Park,California,United States,Operating,1995-06-17,Steel,Sit Down,Family,Zierer,Tivoli,2602,65,45,35,0,25,2:00,
23,Jersey Devil Coaster,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,2021-06-13,Steel,Sit Down,Extreme,Rocky Mountain Construction,Raptor Track,3000,130,,58,3,87,,
0,Jester,Six Flags New Orleans,New Orleans,Louisiana,United States,SBNO,2005-08-22,Steel,Sit Down,Extreme,Vekoma,Other,1935.7,79,,40,3,,,3.5
